# Cluster, ID, RA, Dec, z
# No spaces allowed
# For input into GLASS magnification tool:
# http://glass.astro.ucla.edu/magnification_webtool
#
A370,1783,39.9781,-1.5692,1.265
A370,3161,39.9480,-1.5848,1.605
MACS0717,399,109.3968,37.7616,1.687
MACS0717,454,109.4030,37.7601,1.689
MACS0717,1828,109.4140,37.7422,1.471
MACS0744,243,116.2341,39.4721,1.284
MACS0744,726,116.1912,39.4636,1.6175
MACS0744,823,116.1994,39.4573,2.15
MACS0744,1370,116.2370,39.4541,1.370
MACS0744,1461,116.2322,39.4531,1.273
MACS0744,1734,116.2191,39.4492,1.4925
MACS0744,2341,116.2127,39.4411,1.281
MACS1149,604,177.4149,22.4075,1.5005
MACS1149,1802,177.4139,22.3858,2.1573
MACS1149,1931,177.4034,22.3815,1.4071
